HoleWidth(mm),HoleDepth(mm),Width/Depth,Surf1,Surf2,Surf3,SurfAv,Floor1,Floor2,Floor3,FloorAv,Ratio
110,165,0.6666666667,95.6,136.5,131.6,121.2333333333,42.8,45.5,47.2,45.1666666667,0.372559802
65,175,0.3714285714,68.2,67.6,68.5,68.1,29.7,30.1,30.8,30.2,0.4434654919
115,160,0.71875,71.6,71.6,72.9,72.0333333333,46.84,46.5,47.1,46.8133333333,0.6498843128
75,139,0.5395683453,112.6,104.9,129.1,115.5333333333,59.5,46.84,52.8,53.0466666667,0.4591459896
72,145,0.4965517241,117.1,167.4,163.6,149.3666666667,57.9,84.7,94,78.8666666667,0.5280071413
50,140,0.3571428571,89,83.9,80.3,84.4,52.5,49.1,47.5,49.7,0.5888625592
55,135,0.4074074074,130.5,130.5,80.9,113.9666666667,76.9,76.9,59.5,71.1,0.6238666277
70,139,0.5035971223,82.3,81.9,76.9,80.3666666667,54,55.5,52.8,54.1,0.673164662
73,135,0.5407407407,107.4,88,87.6,94.3333333333,77.2,55.8,55.5,62.8333333333,0.6660777385
80,135,0.5925925926,85.3,96.3,115.7,99.1,44.1,48.8,68.5,53.8,0.5428859738
72,140,0.5142857143,105.4,103.6,99,102.6666666667,52.1,51.1,49.5,50.9,0.4957792208
85,130,0.6538461538,95.6,125.3,133.1,118,47.8,58.2,61.5,55.8333333333,0.4731638418
84,135,0.6222222222,105.7,104.4,105,105.0333333333,56.2,55.8,56.8,56.2666666667,0.5357029514
62,145,0.4275862069,93.6,96.6,107.1,99.1,44.5,45.5,50.5,46.8333333333,0.4725866128
95,135,0.7037037037,87.6,140.3,130.3,119.4,50.9,75.2,71.6,65.9,0.5519262982
30,135,0.2222222222,102.6,101.3,115.7,106.5333333333,51.8,51.5,58.2,53.8333333333,0.5053191489
35,110,0.3181818182,101.7,128.1,109.4,113.0666666667,47.2,52.5,48.1,49.2666666667,0.4357311321
39,150,0.26,95.7,106.7,123.1,108.5,37.4,41.5,46.8,41.9,0.3861751152
45,120,0.375,113.7,127.1,159.9,133.5666666667,50.8,57.5,71.9,60.0666666667,0.4497130022
75,170,0.4411764706,155.6,181.3,164.3,167.0666666667,63.9,75.2,69.8,69.6333333333,0.4167996808
85,145,0.5862068966,89.6,81.6,79.9,83.7,45.1,42.8,42.4,43.4333333333,0.5189167662
60,155,0.3870967742,120.4,137.8,209.8,156,46.1,52.2,77.2,58.5,0.375
80,195,0.4102564103,166.9,120.4,176,154.4333333333,66.5,47.1,68.5,60.7,0.3930498597
100,178,0.5617977528,188.3,184.7,183.3,185.4333333333,73.6,73.6,72.9,73.3666666667,0.3956498292
50,160,0.3125,180.3,181.7,175,179,71.6,70.2,66.9,69.5666666667,0.3886405959
60,172,0.3488372093,194,198.1,192.7,194.9333333333,70.2,69.6,66.9,68.9,0.3534541724
42,149,0.2818791946,196,167.9,140.5,168.1333333333,77.6,66.2,58.2,67.3333333333,0.4004758128
40,160,0.25,109.7,99,99,102.5666666667,39.4,36.8,36.9,37.7,0.3675658109
60,115,0.5217391304,98.3,120.4,137.8,118.8333333333,43.5,52.8,59.5,51.9333333333,0.437026648
90,190,0.4736842105,136.2,127.8,136.8,133.6,46.8,42.8,46.8,45.4666666667,0.3403193613
35,165,0.2121212121,121.1,194,205.1,173.4,48.8,74.2,78.3,67.1,0.3869665513
32,190,0.1684210526,115.1,120.4,123.8,119.7666666667,34.8,35.8,36.8,35.8,0.2989145561
38,180,0.2111111111,125.5,170.6,137.8,144.6333333333,35.4,45.1,36.8,39.1,0.2703387877
190,230,0.8260869565,170.6,157.3,133.8,153.9,69.6,69.6,69.2,69.4666666667,0.451375352
189,225,0.84,160.6,147.9,136.8,148.4333333333,73.2,73.6,72.9,73.2333333333,0.4933752526
110,145,0.7586206897,122.8,107.4,102.4,110.8666666667,85.3,90.3,91,88.8666666667,0.8015634396
130,180,0.7222222222,132.5,125.8,117.8,125.3666666667,82.6,85.6,87.6,85.2666666667,0.6801382611
100,120,0.8333333333,189.5,192.4,183.4,188.4333333333,118.1,118.7,121.2,119.3333333333,0.6332920573
90,130,0.6923076923,139.8,111.1,93.7,114.8666666667,110.1,101,91.7,100.9333333333,0.878699942
190,145,1.3103448276,82.3,82.3,82.3,82.3,67.6,67.6,66.9,67.3666666667,0.8185500203
85,110,0.7727272727,76.3,75.9,74.3,75.5,66.9,67.2,67.2,67.1,0.8887417219
40,160,0.25,163.3,157.9,156.6,159.2666666667,98.7,96.4,96.7,97.2666666667,0.6107157807
95,130,0.7307692308,116.1,101,121.1,112.7333333333,100.7,92.6,100.7,98,0.8693081017
40,120,0.3333333333,162.6,114.5,104.4,127.1666666667,106,99.4,84.9,96.7666666667,0.7609436435
